"Area","Item","Evidence_source","Status","Evidence_class","Notes"
"CI","OS and R-version matrix breadth",".github/workflows/R-CMD-check.yml","partial","verified fact","OS: ubuntu-latest, windows-latest. R versions: 4.3, 4.4, devel."
"CI","R-CMD-check workflow",".github/workflows/R-CMD-check.yml","partial","verified fact","Detected 1 workflow file(s); coverage/lint/pkgdown/release workflows are absent."
"compatibility documentation","hydroGOF-compatibility auditability","COMPATIBILITY_TRACKER.md; DECISIONS.md; NAMESPACE","divergent","verified fact","Compatibility notes exist, but tracker entries are not consistently aligned with exported functions."
"CRAN-oriented readiness signals","Release-like metadata and checks","DESCRIPTION; .github/workflows/R-CMD-check.yml","partial","verified fact","Placeholder maintainer identity, missing URL/BugReports, and CI shortcuts reduce release-readiness signals."
"docs","man page coverage relative to exports","man/*.Rd; NAMESPACE","complete","verified fact","17 of 17 exported objects have an Rd alias match."
"docs","NEWS presence","NEWS*","missing","verified fact","No root NEWS detected."
"docs","Rd example sections","man/*.Rd","missing","verified fact","0 of 20 Rd files contain an examples section."
"docs","README completeness","README*","missing","verified fact","No root README detected."
"dynamic verification","Runtime verification commands recorded","notes/audit/dynamic_verification_plan.md","complete","recommendation","Commands are defined, but command outcomes remain environment-specific until executed."
"dynamic verification","Runtime verification outcomes","Execution evidence not stored by this script","unverified","recommendation","This audit records next-step commands only; runtime success/failure must be captured separately."
"exports","NAMESPACE export declarations","NAMESPACE","complete","verified fact","17 exported objects detected."
"metadata","DESCRIPTION release metadata","DESCRIPTION","partial","verified fact","Core DESCRIPTION fields exist, but release-oriented metadata is incomplete."
"metadata","MIT support files","DESCRIPTION; LICENSE; LICENSE.md","complete","verified fact","MIT declaration is paired with LICENSE support files."
"metric implementation presence","Internal metric implementations under R/core_metrics.R","R/core_metrics.R; R/registry.R","complete","verified fact","41 metric_* implementations detected."
"package structure","Core package files and directories","DESCRIPTION; NAMESPACE; R/; tests/testthat/; man/; inst/; tools/; .github/workflows/; notes/","complete","verified fact","All core structural locations exist except vignettes/, which is tracked separately."
"package structure","vignettes directory","vignettes/","missing","verified fact","No vignettes directory was found."
"public API auditability","Exported objects documented in Rd","NAMESPACE; man/*.Rd","complete","verified fact","Export-level auditability is stronger than compatibility-surface auditability."
"reproducibility artifacts","Phase 2 audit runner and generated outputs","tools/phase2_baseline_audit.R; notes/audit/*","complete","verified fact","The audit runner deterministically regenerates repository_inventory.md, compliance matrix, defect register, and verification plan."
"tests","Dedicated metric-to-test traceability","tests/testthat filenames; R/core_metrics.R","partial","likely inference","Several metrics appear to rely on batch tests rather than clearly named dedicated files."
"tests","testthat suite presence","tests/testthat; tests/testthat.R","complete","verified fact","29 test files and 0 helper files detected."
"vignettes","Vignette sources and builder metadata","vignettes/; DESCRIPTION","missing","verified fact","No vignette sources or VignetteBuilder field were detected."
"wrapper presence","Public and internal wrapper functions","R/*.R; NAMESPACE","partial","verified fact","20 wrapper-like functions detected; some hydroGOF-style names remain method-level rather than exported functions."
